Time,sp_gesamt,Springorumtrasse stadteinw채rts Fahrr채der,Springorumtrasse stadtausw채rts Fahrr채der
20190101,129,68,61
20190102,425,205,220
20190103,294,139,155
20190104,224,104,120
20190105,125,61,64
20190106,182,99,83
20190107,483,234,249
20190108,399,194,205
20190109,533,268,265
20190110,556,271,285
20190111,414,212,202
20190112,143,72,71
20190113,68,31,37
20190114,483,238,245
20190115,566,275,291
20190116,631,308,323
20190117,453,215,238
20190118,577,280,297
20190119,300,140,160
20190120,351,169,182
20190121,563,274,289
20190122,545,271,274
20190123,268,123,145
20190124,322,156,166
20190125,362,183,179
20190126,170,81,89
20190127,167,82,85
20190128,306,155,151
20190129,545,263,282
20190130,362,175,187
20190131,186,100,86
20190201,206,101,105
20190202,49,22,27
20190203,131,58,73
20190204,385,177,208
20190205,425,198,227
20190206,580,267,313
20190207,517,250,267
20190208,494,248,246
20190209,267,137,130
20190210,89,42,47
20190211,529,257,272
20190212,651,306,345
20190213,91,41,50
20190214,91,46,45
20190215,583,288,295
20190216,1221,579,642
20190217,1488,715,773
20190218,1215,591,624
20190219,786,374,412
20190220,848,414,434
20190221,770,355,415
20190222,841,445,396
20190223,1018,484,534
20190224,1649,787,862
20190225,1226,591,635
20190226,1259,624,635
20190227,1520,727,793
20190228,818,391,427
20190301,511,242,269
20190302,436,205,231
20190303,88,43,45
20190304,202,102,100
20190305,466,225,241
20190306,496,229,267
20190307,377,181,196
20190308,585,285,300
20190309,196,87,109
20190310,61,29,32
20190311,354,172,182
20190312,549,272,277
20190313,326,160,166
20190314,307,153,154
20190315,369,184,185
20190316,215,101,114
20190317,203,109,94
20190318,604,306,298
20190319,933,467,466
20190320,779,385,394
20190321,1264,625,639
20190322,1572,746,826
20190323,583,290,293
20190324,1325,647,678
20190325,459,228,231
20190326,699,340,359
20190327,917,443,474
20190328,890,434,456
20190329,1423,708,715
20190330,1463,733,730
20190331,804,391,413
20190401,1314,643,671
20190402,882,425,457
20190403,673,335,338
20190404,547,268,279
20190405,793,389,404
20190406,984,515,469
20190407,2261,1111,1150
20190408,1568,760,808
20190409,1211,586,625
20190410,1109,534,575
20190411,957,456,501
20190412,591,304,287
20190413,297,143,154
20190414,669,337,332
20190415,1011,494,517
20190416,1243,598,645
20190417,795,383,412
20190418,1146,563,583
20190419,2122,986,1136
20190420,1204,554,650
20190421,1485,689,796
20190422,2303,1091,1212
20190423,1311,637,674
20190424,1002,474,528
20190425,899,442,457
20190426,680,338,342
20190427,216,105,111
20190428,767,372,395
20190429,1138,570,568
20190430,1445,712,733
20190501,1913,870,1043
20190502,830,395,435
20190503,847,404,443
20190504,386,184,202
20190505,479,244,235
20190506,764,392,372
20190507,1012,488,524
20190508,674,333,341
20190509,1041,505,536
20190510,670,327,343
20190511,474,240,234
20190512,1264,613,651
20190513,1532,731,801
20190514,1346,641,705
20190515,1583,779,804
20190516,1000,494,506
20190517,906,438,468
20190518,1118,549,569
20190519,1618,762,856
20190520,859,434,425
20190521,492,243,249
20190522,1351,661,690
20190523,1689,816,873
20190524,1445,713,732
20190525,1292,600,692
20190526,1666,817,849
20190527,1185,585,600
20190528,810,407,403
20190529,1610,803,807
20190530,1088,495,593
20190531,1337,645,692
20190601,1655,777,878
20190602,2047,971,1076
20190603,779,382,397
20190604,1783,849,934
20190605,1799,869,930
20190606,987,468,519
20190607,1497,700,797
20190608,627,322,305
20190609,2612,1181,1431
20190610,1926,882,1044
20190611,1120,539,581
20190612,1036,494,542
20190613,1597,742,855
20190614,1864,907,957
20190615,1068,541,527
20190616,2545,1177,1368
20190617,2097,1008,1089
20190618,1914,924,990
20190619,1358,668,690
20190620,2103,1013,1090
20190621,1743,832,911
20190622,1672,793,879
20190623,2368,1098,1270
20190624,1828,878,950
20190625,1782,844,938
20190626,1735,812,923
20190627,2045,970,1075
20190628,1983,947,1036
20190629,1481,711,770
20190630,1585,744,841
20190701,1846,885,961
20190702,1960,953,1007
20190703,1999,979,1020
20190704,2132,1017,1115
20190705,1902,914,988
20190706,1363,671,692
20190707,1754,845,909
20190708,1454,708,746
20190709,1679,818,861
20190710,1937,891,1046
20190711,845,399,446
20190712,1070,519,551
20190713,1096,529,567
20190714,1652,775,877
20190715,1313,621,692
20190716,1384,673,711
20190717,1605,758,847
20190718,1658,765,893
20190719,1459,684,775
20190720,833,377,456
20190721,1997,898,1099
20190722,1772,817,955
20190723,1671,809,862
20190724,1367,674,693
20190725,1049,518,531
20190726,1001,496,505
20190727,880,425,455
20190728,1289,598,691
20190729,1742,832,910
20190730,1650,794,856
20190731,1313,648,665
20190801,1361,639,722
20190802,981,473,508
20190803,927,436,491
20190804,2179,1010,1169
20190805,1416,691,725
20190806,1243,602,641
20190807,1294,620,674
20190808,1592,722,870
20190809,804,387,417
20190810,974,456,518
20190811,1778,820,958
20190812,1007,483,524
20190813,783,373,410
20190814,1614,772,842
20190815,542,260,282
20190816,1337,620,717
20190817,599,278,321
20190818,373,168,205
20190819,1545,726,819
20190820,1598,773,825
20190821,1809,833,976
20190822,1881,863,1018
20190823,1799,833,966
20190824,1717,804,913
20190825,1993,917,1076
20190826,1482,717,765
20190827,1643,776,867
20190828,2054,965,1089
20190829,1219,590,629
20190830,2173,1053,1120
20190831,1628,738,890
20190901,1148,549,599
20190902,1925,920,1005
20190903,1754,823,931
20190904,1546,755,791
20190905,1293,621,672
20190906,1730,821,909
20190907,804,389,415
20190908,923,463,460
20190909,1409,672,737
20190910,1769,830,939
20190911,1290,628,662
20190912,1413,668,745
20190913,1054,530,524
20190914,1597,708,889
20190915,2327,1095,1232
20190916,871,434,437
20190917,1358,652,706
20190918,1394,675,719
20190919,1525,732,793
20190920,1698,830,868
20190921,1759,867,892
20190922,2053,976,1077
20190923,967,471,496
20190924,1318,648,670
20190925,1124,529,595
20190926,864,415,449
20190927,1255,594,661
20190928,427,213,214
20190929,217,108,109
20190930,593,287,306
20191001,606,302,304
20191002,952,450,502
20191003,627,312,315
20191004,348,171,177
20191005,672,324,348
20191006,279,130,149
20191007,1177,563,614
20191008,625,298,327
20191009,840,411,429
20191010,1026,494,532
20191011,734,356,378
20191012,942,428,514
20191013,1512,699,813
20191014,1225,588,637
20191015,802,377,425
20191016,680,337,343
20191017,426,204,222
20191018,555,281,274
20191019,211,101,110
20191020,212,108,104
20191021,770,361,409
20191022,820,386,434
20191023,1096,523,573
20191024,1161,558,603
20191025,940,442,498
20191026,1233,583,650
20191027,583,270,313
20191028,1060,493,567
20191029,1205,607,598
20191030,1067,535,532
20191031,997,471,526
20191101,323,146,177
20191102,328,160,168
20191103,663,329,334
20191104,900,438,462
20191105,822,400,422
20191106,624,307,317
20191107,734,345,389
20191108,1010,484,526
20191109,353,175,178
20191110,731,346,385
20191111,872,415,457
20191112,683,330,353
20191113,713,345,368
20191114,900,434,466
20191115,828,403,425
20191116,520,245,275
20191117,411,213,198
20191118,471,223,248
20191119,585,273,312
20191120,832,403,429
20191121,724,348,376
20191122,723,362,361
20191123,548,257,291
20191124,777,366,411
20191125,893,449,444
20191126,878,405,473
20191127,681,335,346
20191128,513,254,259
20191129,800,382,418
20191130,427,198,229
20191201,252,129,123
20191202,711,355,356
20191203,701,347,354
20191204,863,440,423
20191205,691,325,366
20191206,489,232,257
20191207,316,146,170
20191208,154,79,75
20191209,466,232,234
20191210,814,402,412
20191211,450,226,224
20191212,728,352,376
20191213,481,238,243
20191214,190,100,90
20191215,365,183,182
20191216,670,339,331
20191217,963,477,486
20191218,838,410,428
20191219,1048,502,546
20191220,622,312,310
20191221,499,250,249
20191222,298,147,151
20191223,335,167,168
20191224,98,54,44
20191225,224,100,124
20191226,364,175,189
20191227,510,255,255
20191228,291,142,149
20191229,377,184,193
20191230,586,288,298
20191231,250,112,138
